Comment,Designator,Footprint,LCSC Part #
Screw Terminals -3.5mm,"X8, X9, X10, X11 ,X12",,C2997511
JST XH 5 Side,X6,,C157991
JST PH 5 Side,X4,,C157923
JST PH5 Vertical,X3,,C157993
JST PH 3,X15,,C157929
JST PH 4 Side,"X1, X2",,C157926
SN74LV1T34DBVRG4,U1,SOT95P280X145-5N,C1848228
USB-302S,U$2,USB-302S,C112455
MF-SMDF050,U$1,MF-SMDF050,C210839
MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT,S1 S2,TACTILE_SWITCH_SMD_5.2MM,C2689410
27,R9 R10,R0402,C25100
22,R5 R6,R0805,C17561
33,R4,R0402,C25105
4.7K,R2 R3,R0603,C23162
DNF,R12,R0402,
1K,R11,R0402,C11702
330,R1 R14,R0603,C23138
ASE,OSC1,ASE,C409301
RED,LED2,CHIP-LED0603,C2286
2x10 Male,JP2,,C5116480
USB B Plug,J6,,C498173
W25Q128JVSIQ,IC3,SOIC127P790X216-8N,C97521
REG1117-3.3,IC2,SOT223,C139396
RP2040-QFN56,IC1,RP2040-QFN-56,C2040
100nF,C3 C4 C5 C6 C7 C8 C9 C11 C12 C15,C0402K,C1525
1uF,C2 C10,C0402K,C52923
.01uF,C19,C0402K,C267411
10uF,C13 C14,C0402K,C15525
100nF,C1,C0603K,C14663
